GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Less than high school graduate,Margin of Error; Total: - Less than high school graduate,Estimate; Total: - High school graduate (includes equivalency),Margin of Error; Total: - High school graduate (includes equivalency),Estimate; Total: - Some college or associate's degree,Margin of Error; Total: - Some college or associate's degree,Estimate; Total: - Bachelor's degree,Margin of Error; Total: - Bachelor's degree,Estimate; Total: - Graduate or professional degree,Margin of Error; Total: - Graduate or professional degree,Estimate; Total: - Male:,Margin of Error; Total: - Male:,Estimate; Total: - Male: - Less than high school graduate,Margin of Error; Total: - Male: - Less than high school graduate,Estimate; Total: - Male: - High school graduate (includes equivalency),Margin of Error; Total: - Male: - High school graduate (includes equivalency),Estimate; Total: - Male: - Some college or associate's degree,Margin of Error; Total: - Male: - Some college or associate's degree,Estimate; Total: - Male: - Bachelor's degree,Margin of Error; Total: - Male: - Bachelor's degree,Estimate; Total: - Male: - Graduate or professional degree,Margin of Error; Total: - Male: - Graduate or professional degree,Estimate; Total: - Female:,Margin of Error; Total: - Female:,Estimate; Total: - Female: - Less than high school graduate,Margin of Error; Total: - Female: - Less than high school graduate,Estimate; Total: - Female: - High school graduate (includes equivalency),Margin of Error; Total: - Female: - High school graduate (includes equivalency),Estimate; Total: - Female: - Some college or associate's degree,Margin of Error; Total: - Female: - Some college or associate's degree,Estimate; Total: - Female: - Bachelor's degree,Margin of Error; Total: - Female: - Bachelor's degree,Estimate; Total: - Female: - Graduate or professional degree,Margin of Error; Total: - Female: - Graduate or professional degree
1400000US36001000100,36001000100,"Census Tract 1, Albany County, New York",33333,12414,20074,3846,32097,11219,42059,8023,71250,40730,26417,4759,32292,24622,21339,10605,42625,28059,52000,6443,-,**,-,**,33500,11297,18750,7142,31776,7975,40862,12102,74306,11341,-,**
1400000US36001000200,36001000200,"Census Tract 2, Albany County, New York",35095,7606,-,**,25586,14263,33009,16016,70453,61667,-,**,43194,22855,-,**,-,**,54655,31232,-,**,-,**,32500,6822,-,**,25391,14699,31833,1875,-,**,56250,31585
1400000US36001000300,36001000300,"Census Tract 3, Albany County, New York",28403,11167,37845,18615,16871,1560,24261,21787,37635,4041,60625,17443,31842,19674,41750,38642,16976,2014,-,**,60714,23365,64261,12869,23797,15075,33375,26429,16674,14104,24091,19759,34464,17082,-,**
1400000US36001000401,36001000401,"Census Tract 4.01, Albany County, New York",42042,6153,-,**,30536,9316,31907,5321,47734,15661,54453,17816,48984,12946,-,**,25550,10125,-,**,68750,59063,68250,24058,41355,3817,-,**,37500,10228,32161,7309,40651,11624,53438,10520
1400000US36001000403,36001000403,"Census Tract 4.03, Albany County, New York",49951,4683,-,**,36958,24233,52625,12492,42040,6999,65043,23667,52750,12026,-,**,36417,19802,55985,14241,43235,13875,69712,32015,49477,5064,-,**,-,**,48250,15576,41605,7398,52130,18808
1400000US36001000404,36001000404,"Census Tract 4.04, Albany County, New York",3088,1978,-,**,-,**,3088,1977,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,"2,500-",***,-,**,-,**,"2,500-",***,-,**,-,**
1400000US36001000501,36001000501,"Census Tract 5.01, Albany County, New York",31799,4294,18634,5494,32469,3091,22500,17803,50417,24518,50278,36440,31292,5820,18375,17123,30469,3430,-,**,51458,23787,84792,19309,32788,7458,18712,2561,35111,4410,23125,21054,41607,36793,36917,13695
1400000US36001000502,36001000502,"Census Tract 5.02, Albany County, New York",40895,2783,-,**,31038,1108,35625,5632,42375,8149,55833,13605,41365,5178,-,**,31250,2077,38750,6868,45250,26400,62550,27925,36250,13404,-,**,30446,11675,29306,5028,42000,20905,54514,7338
1400000US36001000600,36001000600,"Census Tract 6, Albany County, New York",26846,5169,-,**,30851,17727,29144,6831,33438,13822,-,**,28207,6299,"2,500-",***,32070,16957,28056,2738,34896,10998,-,**,21310,10145,10682,2280,-,**,36125,25009,26471,23790,-,**
1400000US36001000700,36001000700,"Census Tract 7, Albany County, New York",27357,9645,25729,11745,22244,4150,40032,11872,57188,45319,-,**,41585,10277,-,**,-,**,42076,4156,68565,39505,-,**,23618,4512,18250,3437,20703,8037,27061,21485,-,**,-,**
1400000US36001000800,36001000800,"Census Tract 8, Albany County, New York",26525,2736,-,**,25391,3002,27049,8920,30341,24878,60917,29622,27063,9659,-,**,24292,5520,-,**,30284,26025,-,**,26391,1404,-,**,26051,6692,27118,7462,-,**,-,**
1400000US36001001100,36001001100,"Census Tract 11, Albany County, New York",24048,11206,15859,6138,18793,8433,-,**,-,**,47396,22660,19828,15534,-,**,19095,10164,13750,13541,-,**,45179,21795,26389,15974,-,**,-,**,23250,21203,-,**,56875,11943
1400000US36001001400,36001001400,"Census Tract 14, Albany County, New York",50288,7321,-,**,28694,25708,31985,12240,51591,17358,68750,16195,50647,11721,-,**,-,**,31196,12389,57130,9793,76563,66328,49052,9852,-,**,-,**,36136,20141,42041,3522,61168,9360
1400000US36001001500,36001001500,"Census Tract 15, Albany County, New York",33188,15813,-,**,20893,14901,39091,20984,-,**,51406,15778,31958,17797,-,**,-,**,50217,20578,26905,21067,43047,11481,35357,22020,-,**,28281,5056,-,**,48750,16350,54594,17574
1400000US36001001600,36001001600,"Census Tract 16, Albany County, New York",44488,5410,-,**,35000,10060,53778,7397,40435,4265,53281,12958,49787,8717,-,**,35288,14760,53906,18858,48664,12894,56831,6326,40000,5731,-,**,34531,12874,53750,20376,38237,14785,43906,13190
1400000US36001001700,36001001700,"Census Tract 17, Albany County, New York",37488,4568,-,**,25677,5500,35755,6338,39135,9914,50104,10890,35757,3922,-,**,23750,11079,36364,8277,39038,12100,42321,32316,41402,5535,-,**,-,**,34620,9100,40278,14136,51198,10517
1400000US36001001801,36001001801,"Census Tract 18.01, Albany County, New York",50173,4086,-,**,37986,8458,36186,5394,48649,9149,64718,8873,52422,5783,-,**,36250,6992,35552,7819,53798,16121,79263,18176,48337,9556,-,**,39896,26649,37917,29014,37425,12826,54578,13168
1400000US36001001802,36001001802,"Census Tract 18.02, Albany County, New York",39037,4571,-,**,30668,6744,37312,10825,47639,14018,45568,9873,41603,8750,-,**,29917,10727,41071,12230,49861,26704,52847,30490,36471,9947,-,**,30784,18657,32917,19504,41667,21151,45000,8234
1400000US36001001901,36001001901,"Census Tract 19.01, Albany County, New York",51287,4465,6083,2004,65341,54695,27639,17677,49143,3414,63167,5412,50679,3826,6083,2004,-,**,37083,19995,51929,3462,60398,12622,52857,11145,-,**,-,**,-,**,32614,6975,65551,5236
