Id2,Geography,Total_Male,Male_LHS,Male_HS,Male_College,Male_Bachelors,Male_Graduate,Total_Female,Female_LHS,Female_HS,Female_College,Female_Bachelors,Female_Graduate
36005000100,"Census Tract 1, Bronx County, New York",12041,11313,12153,12115,-,-,4875,-,-,-,-,-
36005000200,"Census Tract 2, Bronx County, New York",42462,35909,35809,45353,47375,-,31566,-,30784,29797,47778,-
36005000400,"Census Tract 4, Bronx County, New York",45385,-,36250,46094,49390,116440,46739,-,29722,47188,46806,56302
36005001600,"Census Tract 16, Bronx County, New York",33750,-,22027,35881,-,44653,25978,18446,21042,30076,54676,-
36005001900,"Census Tract 19, Bronx County, New York",35635,23438,25417,40167,42292,58333,35615,16477,35125,39338,31875,47292
36005002000,"Census Tract 20, Bronx County, New York",28618,21735,26763,-,43500,-,19333,12101,20870,35426,-,-
36005002300,"Census Tract 23, Bronx County, New York",27439,21019,31293,25688,-,-,19558,17354,22045,18553,-,-
36005002400,"Census Tract 24, Bronx County, New York",-,-,-,-,-,-,-,-,-,-,-,-
36005002500,"Census Tract 25, Bronx County, New York",23990,24089,15952,-,22841,72500,20750,20363,14605,35694,31739,-
36005002701,"Census Tract 27.01, Bronx County, New York",25407,24740,17105,26354,-,-,21347,20271,23250,19250,40000,-
36005002702,"Census Tract 27.02, Bronx County, New York",20687,21429,20046,17500,35350,-,25443,12029,-,26925,34125,-
36005002800,"Census Tract 28, Bronx County, New York",30995,31354,42993,-,49290,-,39433,19167,31522,50127,44000,-
36005003100,"Census Tract 31, Bronx County, New York",33786,25990,34179,40461,-,-,24432,18393,50391,24697,-,-
36005003300,"Census Tract 33, Bronx County, New York",17927,13981,23676,-,-,-,17184,11053,14861,27216,-,51625
36005003500,"Census Tract 35, Bronx County, New York",19577,15208,-,16154,36607,-,29732,26528,25469,28839,36250,-
36005003700,"Census Tract 37, Bronx County, New York",34141,44063,34063,-,-,-,-,-,-,-,-,-
36005003800,"Census Tract 38, Bronx County, New York",34808,-,27138,35286,-,-,36250,22778,-,38942,46875,-
36005003900,"Census Tract 39, Bronx County, New York",22705,21167,19048,-,-,-,22752,13315,25038,-,24442,-
36005004001,"Census Tract 40.01, Bronx County, New York",35893,25919,-,39559,62708,-,34444,-,19271,37000,49938,-
36005004100,"Census Tract 41, Bronx County, New York",27399,17351,41352,31321,-,-,13429,5641,19479,16577,-,-
36005004200,"Census Tract 42, Bronx County, New York",30336,-,40631,30065,-,-,19591,12638,31600,16169,51517,63566
36005004300,"Census Tract 43, Bronx County, New York",25192,19280,25212,25813,-,-,16557,12614,16078,15400,50203,-
36005004400,"Census Tract 44, Bronx County, New York",24475,-,23675,-,-,-,24538,20500,15882,25109,36375,-
36005004600,"Census Tract 46, Bronx County, New York",25875,23605,-,26875,-,-,35547,-,31458,60313,38125,48654
36005004800,"Census Tract 48, Bronx County, New York",21225,20678,15793,30792,37885,-,17561,11875,17218,-,76289,-
36005005001,"Census Tract 50.01, Bronx County, New York",30525,24238,33229,51106,-,49022,23085,15104,18989,36736,44583,74688
36005005002,"Census Tract 50.02, Bronx County, New York",22391,17949,25490,35846,-,-,14611,13419,12847,23345,-,-
36005005100,"Census Tract 51, Bronx County, New York",25208,-,23147,31444,-,-,16913,12167,15786,29688,38438,-
36005005200,"Census Tract 52, Bronx County, New York",31618,15063,32614,60625,-,-,18594,13750,16976,16000,-,-
36005005300,"Census Tract 53, Bronx County, New York",23802,16776,31184,-,-,-,21563,-,-,33750,32426,-
36005005400,"Census Tract 54, Bronx County, New York",26345,26021,24804,40950,-,-,15481,14192,-,-,-,-
36005005600,"Census Tract 56, Bronx County, New York",25506,22647,32574,-,-,-,18886,9635,19261,26563,-,-
36005005902,"Census Tract 59.02, Bronx County, New York",21753,18472,22063,59038,-,84310,14203,7237,-,-,-,-
36005006000,"Census Tract 60, Bronx County, New York",26900,25481,-,35625,25938,-,19226,11944,16346,19271,26000,58750
36005006100,"Census Tract 61, Bronx County, New York",43333,-,48726,70425,41250,-,49375,32955,38553,46915,61875,50637
36005006200,"Census Tract 62, Bronx County, New York",23068,22091,-,21299,70254,-,19816,18267,25888,19363,21875,-
36005006300,"Census Tract 63, Bronx County, New York",27614,22232,21992,26167,40625,102969,28056,16919,20064,40306,43984,43043
36005006400,"Census Tract 64, Bronx County, New York",24265,11935,35350,30446,-,-,30380,-,12140,32656,-,-
36005006500,"Census Tract 65, Bronx County, New York",27580,25765,32330,16786,-,41544,15313,11964,27544,15208,-,-
36005006700,"Census Tract 67, Bronx County, New York",18351,17043,-,17944,30391,-,21895,15701,-,25769,-,-
36005006800,"Census Tract 68, Bronx County, New York",29531,25446,31193,28125,60875,-,21346,20302,26546,17333,-,-
36005006900,"Census Tract 69, Bronx County, New York",35438,20678,43082,37396,-,-,23611,10605,20935,25833,36875,-
36005007000,"Census Tract 70, Bronx County, New York",25221,14325,27625,50556,31212,-,21404,15023,18594,40217,-,-
36005007100,"Census Tract 71, Bronx County, New York",40083,31625,41200,30333,-,62321,34514,24286,-,30125,45357,92721
36005007200,"Census Tract 72, Bronx County, New York",25571,16681,37361,28788,19889,26528,28571,-,-,26574,30694,41458
36005007300,"Census Tract 73, Bronx County, New York",20069,16319,26961,22059,-,-,20313,13958,16786,24618,-,-
36005007400,"Census Tract 74, Bronx County, New York",39865,41250,29554,34801,52813,-,33110,15227,30375,35486,34750,41250
